could not get driver version for /dev/input/mouse0, Not a typewriter
add device 1: /dev/input/event0
  name:     "qwerty2"
could not get driver version for /dev/input/mice, Not a typewriter
[    4339.633296] /dev/input/event0: 0000 0000 00000000
[    4339.633329] /dev/input/event0: 0003 0000 00000135
[    4339.633348] /dev/input/event0: 0000 0000 00000000
[    4339.649251] /dev/input/event0: 0003 0000 0000013b
[    4339.649303] /dev/input/event0: 0000 0000 00000000
[    4339.649337] /dev/input/event0: 0003 0000 0000013f
[    4339.649360] /dev/input/event0: 0000 0000 00000000
[    4339.666201] /dev/input/event0: 0003 0000 00000143
[    4339.666239] /dev/input/event0: 0000 0000 00000000
[    4339.666265] /dev/input/event0: 0003 0000 00000146
[    4339.666284] /dev/input/event0: 0000 0000 00000000
[    4339.682171] /dev/input/event0: 0003 0000 0000014a
[    4339.682261] /dev/input/event0: 0000 0000 00000000
[    4339.682293] /dev/input/event0: 0003 0000 0000014e
[    4339.682311] /dev/input/event0: 0000 0000 00000000
[    4339.698169] /dev/input/event0: 0003 0000 00000152
[    4339.698274] /dev/input/event0: 0000 0000 00000000
[    4339.698311] /dev/input/event0: 0003 0000 00000156
[    4339.698330] /dev/input/event0: 0000 0000 00000000
[    4339.714141] /dev/input/event0: 0003 0000 0000015a
[    4339.714212] /dev/input/event0: 0000 0000 00000000
[    4339.714268] /dev/input/event0: 0003 0000 0000015e
[    4339.714289] /dev/input/event0: 0000 0000 00000000
[    4339.736249] /dev/input/event0: 0003 0000 00000161
[    4339.736288] /dev/input/event0: 0000 0000 00000000
[    4339.736328] /dev/input/event0: 0003 0000 00000165
[    4339.736346] /dev/input/event0: 0000 0000 00000000
[    4339.736371] /dev/input/event0: 0003 0000 00000169
[    4339.736407] /dev/input/event0: 0000 0000 00000000
[    4339.752152] /dev/input/event0: 0003 0000 0000016d
[    4339.752193] /dev/input/event0: 0000 0000 00000000
[    4339.752228] /dev/input/event0: 0003 0000 0000016f
[    4339.752246] /dev/input/event0: 0000 0000 00000000
[    4339.768080] /dev/input/event0: 0003 0000 00000173
[    4339.768127] /dev/input/event0: 0000 0000 00000000
[    4339.768162] /dev/input/event0: 0003 0000 00000177
[    4339.768180] /dev/input/event0: 0000 0000 00000000
[    4339.784084] /dev/input/event0: 0003 0000 0000017c
[    4339.784127] /dev/input/event0: 0000 0000 00000000
[    4339.784164] /dev/input/event0: 0003 0000 00000180
[    4339.784182] /dev/input/event0: 0000 0000 00000000
[    4339.800039] /dev/input/event0: 0003 0000 00000184
[    4339.800085] /dev/input/event0: 0000 0000 00000000
[    4339.800119] /dev/input/event0: 0003 0000 0000018a
[    4339.800136] /dev/input/event0: 0000 0000 00000000
[    4339.816100] /dev/input/event0: 0003 0000 0000018e
[    4339.816148] /dev/input/event0: 0000 0000 00000000
[    4339.816182] /dev/input/event0: 0003 0000 00000191
[    4339.816200] /dev/input/event0: 0000 0000 00000000
[    4339.832091] /dev/input/event0: 0003 0000 00000195
[    4339.832130] /dev/input/event0: 0000 0000 00000000
[    4339.832160] /dev/input/event0: 0003 0000 00000199
[    4339.832178] /dev/input/event0: 0000 0000 00000000
[    4339.848042] /dev/input/event0: 0003 0000 0000019d
[    4339.848090] /dev/input/event0: 0000 0000 00000000
[    4339.848124] /dev/input/event0: 0003 0000 0000019f
[    4339.848143] /dev/input/event0: 0000 0000 00000000
[    4339.863990] /dev/input/event0: 0003 0000 000001a5
[    4339.864031] /dev/input/event0: 0000 0000 00000000
[    4339.864064] /dev/input/event0: 0003 0000 000001a7
[    4339.864082] /dev/input/event0: 0000 0000 00000000
[    4339.879985] /dev/input/event0: 0003 0000 000001ac
[    4339.880032] /dev/input/event0: 0000 0000 00000000
[    4339.880067] /dev/input/event0: 0003 0000 000001ae
[    4339.880085] /dev/input/event0: 0000 0000 00000000
[    4339.900491] /dev/input/event0: 0003 0000 000001b4
[    4339.900555] /dev/input/event0: 0000 0000 00000000
[    4339.900594] /dev/input/event0: 0003 0000 000001ba
[    4339.900628] /dev/input/event0: 0000 0000 00000000
[    4339.916954] /dev/input/event0: 0003 0000 000001c0
[    4339.917004] /dev/input/event0: 0000 0000 00000000
[    4339.917038] /dev/input/event0: 0003 0000 000001c3
[    4339.917056] /dev/input/event0: 0000 0000 00000000
[    4339.932991] /dev/input/event0: 0003 0000 000001c9
[    4339.933034] /dev/input/event0: 0000 0000 00000000
